TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 23 15.980	42 25 07.104	0.31216805	0.0132	0	0	0	0.629	0.017	-2.571	0.013	195243818806188288
1	05 24 22.034	42 12 52.434	0.32599606	0.0171	0	0	0	0.118	0.020	-3.841	0.015	195047628990124800
1	05 29 10.769	43 42 32.551	0.33025493	0.0171	0	0	0	2.030	0.019	-2.627	0.015	195738014916474496
1	05 29 44.337	42 31 44.886	0.31052421	0.0236	0	0	0	1.487	0.028	-2.948	0.021	195387137565676800
1	05 21 52.710	43 07 12.441	0.33165852	0.0176	0	0	0	1.167	0.022	-0.534	0.017	207323190978938368
1	05 28 57.933	42 53 55.130	0.25047386	0.0202	0	0	0	-0.113	0.023	-1.187	0.018	195467466334939008
1	05 23 13.512	42 30 19.424	0.31534521	0.0149	0	0	0	-0.318	0.019	0.936	0.015	195256948516773504
1	05 28 45.466	42 32 34.976	0.28327869	0.0213	0	0	0	0.057	0.025	-2.322	0.020	195400915820822528
1	05 25 02.343	42 47 06.880	0.31640898	0.0155	0	0	0	-0.249	0.019	-3.467	0.015	195267806193679232
1	05 25 51.556	43 37 22.787	0.30979773	0.0164	0	0	0	0.843	0.020	-1.997	0.015	207735164245063680
1	05 27 10.054	43 40 20.967	0.39523323	0.0153	0	0	0	-0.931	0.021	-1.564	0.014	195729635436447872
1	05 27 57.359	42 00 57.260	0.38120035	0.0177	0	0	0	0.085	0.020	-4.512	0.017	194601261628970368
1	05 30 08.869	43 33 46.540	0.34676477	0.0136	0	0	0	0.569	0.017	-1.787	0.013	195689980000230016
1	05 25 56.354	42 05 58.865	0.33905435	0.0136	0	0	0	-0.614	0.016	-1.684	0.013	194990278287828736
1	05 24 15.866	43 18 41.399	0.32728629	0.0135	0	0	0	1.336	0.017	0.634	0.014	207351164105710464
1	05 23 27.448	42 27 49.931	0.30584095	0.0125	0	0	0	1.330	0.016	-1.431	0.012	195244441572008576
1	05 27 41.808	42 13 45.304	0.34847255	0.0150	0	0	0	0.356	0.020	-1.213	0.013	195358378465319680
1	05 21 34.739	43 04 37.033	0.36303978	0.0141	0	0	0	-0.807	0.017	-1.091	0.012	207321541711497856
1	05 23 32.049	43 05 22.262	0.33543411	0.0154	0	0	0	0.517	0.016	-1.529	0.013	195333158416031360
1	05 26 07.359	42 24 30.319	0.39521641	0.0152	0	0	0	0.949	0.016	-3.260	0.013	195419676237607168
