TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 24 00.881	42 39 36.734	0.29198623	0.0127	0	0	0	1.051	0.017	-0.089	0.013	195259834734586240
1	05 24 37.109	42 21 05.939	0.31960299	0.0148	0	0	0	1.489	0.018	0.343	0.013	195057863896198784
1	05 24 14.312	43 03 27.770	0.21430947	0.0165	0	0	0	-0.228	0.020	-2.104	0.015	195335013841855872
1	05 31 03.324	42 37 54.094	0.24608570	0.0257	0	0	0	-0.197	0.027	-2.397	0.023	195391157656541952
1	05 21 34.470	42 34 07.958	0.31853251	0.0167	0	0	0	0.322	0.021	-2.262	0.015	195286837192641792
1	05 23 07.368	42 30 13.583	0.28056705	0.0132	0	0	0	0.379	0.016	-1.862	0.013	195256978578240384
1	05 30 25.693	42 56 01.150	0.26847234	0.0138	0	0	0	-0.063	0.018	-2.290	0.013	195459018138122880
1	05 26 18.705	42 36 06.279	0.26847269	0.0195	0	0	0	0.309	0.022	-1.601	0.017	195436680012697984
1	05 25 50.263	42 31 11.800	0.31034591	0.0189	0	0	0	0.444	0.021	-0.155	0.015	195435997113319040
1	05 30 25.572	43 34 50.172	0.22115238	0.0145	0	0	0	0.582	0.017	-1.002	0.013	195689331463723648
1	05 21 18.239	42 42 25.618	0.24022657	0.0154	0	0	0	0.779	0.020	-0.346	0.015	195298180202888448
1	05 27 23.927	42 28 00.099	0.24057796	0.0181	0	0	0	0.973	0.019	-1.026	0.015	195423107913563136
1	05 27 50.535	42 19 45.823	0.24387412	0.0162	0	0	0	0.163	0.020	-1.398	0.014	195370954129149312
1	05 27 20.712	42 57 25.449	0.32755144	0.0156	0	0	0	1.086	0.020	-1.913	0.014	195635902070816896
1	05 30 24.108	43 34 27.794	0.28021524	0.0156	0	0	0	-0.338	0.019	0.522	0.015	195689292805462400
1	05 23 51.201	42 33 53.123	0.24262853	0.0139	0	0	0	0.254	0.017	-1.375	0.013	195258078089863296
1	05 29 45.145	43 06 46.751	0.31066444	0.0163	0	0	0	-0.534	0.018	-1.508	0.013	195477022640677632
1	05 25 12.996	42 05 05.860	0.29977719	0.0160	0	0	0	1.284	0.020	-1.805	0.015	194989526672965888
1	05 21 57.394	43 21 38.648	0.31970440	0.0170	0	0	0	1.480	0.018	1.664	0.014	207388238263025536
1	05 25 58.536	42 15 46.847	0.29646098	0.0167	0	0	0	2.705	0.023	-1.661	0.018	195414350478892800
1	05 30 32.576	43 31 29.747	0.26163331	0.0236	0	0	0	0.209	0.026	-0.596	0.020	195677408634517632
1	05 29 17.431	43 08 48.083	0.21933575	0.0171	0	0	0	0.583	0.021	-0.241	0.015	195474991117649024
1	05 21 55.555	43 20 33.911	0.27893247	0.0168	0	0	0	0.827	0.019	-1.292	0.015	207340924903302400
1	05 29 23.043	42 46 55.224	0.21737594	0.0146	0	0	0	0.158	0.018	-0.982	0.014	195451871312686080
1	05 25 29.843	42 43 18.405	0.25681574	0.0172	0	0	0	0.482	0.020	-1.420	0.014	195254440256311040
1	05 27 21.102	41 57 10.321	0.32949094	0.0145	0	0	0	0.553	0.017	-2.208	0.013	194595523552690816
